Honda Accord
1989
1/1/1989   & 13.07   & 13.19 & 6895
1/7/1989   & 10.25   & 10.44 & 7235
1/14/1989  & 12.90   & 16.70 & 7626
1/30/1989  & 10.00   & 9.59  & 7959
2/10/1989  & 10.00   & 10.10 & 8132
2/11/1989  & 10.08   & 9.68  & 8475
3/3/1989   & 11.50   & 13.00 & 8781
3/26/1989  & 10.71   & 10.91 & 9028
4/16/1989  & 13.04   & 14.99 & 9369
5/17/1989  & 13.04   & 16.69 & 9683
5/26/1989  & 8.70    & 10.00 & 10005
6/4/1989   & 11.38   & 13.19 & 10376
6/25/1989  & 12.48   & 14.84 & 10730
7/16/1989  & 12.41   & 16.25 & 11037
7/29/1989  & 10.60   & 12.86 & 11367
8/11/1989  & 12.26   & 14.45 & 11713
9/3/1989   & 13.07   & 14.61 & 12052
9/29/1989  & 12.41   & 15.14 & 12359
10/21/1989 & 11.87   & 13.52 & 12659
11/11/1989 & 12.48   & 13.59 & 13015
12/8/1989  & 12.32   & 12.30 & 13306
12/28/1989 & 11.51   & 13.11 & 13565
0/0/0 & 0 & 0 & 0
